url,date,Red SM,Blue SM,Red Team,Blue Team,Starting Team,Winning Team,First team won,Assassin,Team 1 words,Team 2 words,Assassin word,Neutral words,Turns->,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=6988,8/22/2015,KingRamz,Kelvandil,cbob,llarack,Red,Red,1,,"PEAR, DINOSAUR, CAR, SCREEN, GUITAR, BOAT, DART, CHINA, THRONE","PLAY, BILL, FLY, BOND, BEAR, COOK, PARK, PIN",POLE,"LINK, BALLOON, DELAY, DOCTOR, RADIO, MINE, OIL","CIDER, 1 (PEAR)","EASY-BAKE, 2 (COOK, OIL)","KANGXI, 2 (CHINA, THRONE)","YOGI, 2 (BEAR, PARK)","INDOMINUS, 2 (DINOSAUR, DOCTOR)","DEBENTURE (BILL, BOND)","VEHICLES, 2 (CAR, BOAT)","KITE, 2 (FLY, BALLOON)","RAGOULA, 2 (DART, GUITAR, RADIO)","BALL, 2 (PLAY, SREEN)"
https://forums.goodgamery.com/viewtopic.php?f=21&t=6988,8/22/2015,cbob,Kelvandil,lagoche,KingRamz,Blue,Blue,1,,"APPLE, LIFE, PARK, DINOSAUR, CHECK, BAT, GAME, PLAY, MINE","CAT, PIN, BAR, LUCK, ???, ???, ???, ???",OIL,"BEAR, MARBLE, HOLLYWOOD, PITCH, BOND, COOK, FLY, CAST, COLD, SCREEN, HOOK, ","TREE, 3 (APPLE, LIFE, PARK)","NINE, 3 (CAT, MINE)","VERTEBRATE, 2 (DINOSAUR, BEAR)","FOUNDRY, 2 (MARBLE)","CHESS, 3 (CHECK, PIN)","MARTINI, 2 (BAR, HOLLYWOOD)","JYHAD, 3 (BAT, PLAY, GAME)",,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7044,9/22/2015,Mike,Tristal,"Kelvandil, cbob","LSK, llarack",Blue,Red,0,,"SPACE, SHOT, WELL, PIT, FILE, STAFF, PAN, ???, ???","GLASS, FIGURE, WASHER, REVOLUTION, GAS, AMAZON, KING, TURKEY",???,"SUPERHERO, QUEEN, FAIR, MASS, WASHINGTON, POLE, CRICKET, BILL, LAP, TOOTH","MOON, 2 (SPACE, SHOT)","SWAROVSKI, 2 (GLASS, FIGURE)","CHIANTI, 4 ()","DRYER, 2 (WASHER, REVOLUTION)","LASSIE, 2 (WELL, SUPERHERO)","GRILL, 2 (GAS, PIT)","NAIL, 2 (FILE, QUEEN)","BEZOS, 2 (AMAZON, STAFF)","TEFLON, 1 (PAN)","MONARCH, 1 (KING, TURKEY)"
https://forums.goodgamery.com/viewtopic.php?f=21&t=7053,10/7/2015,wcb,Peebles,"Mike, Kelvandil, kolko, wrathy","sea, llarack, lagoche, viashino",Blue,Red,0,,"ROULETTE, BALL, DRILL, PIPE, FIRST, DATE, DOCTOR, STAR, WHALE","CROSS, FISH, WATCH, HEART, PUPIL, FIRE, THUMB, CARD",BAND,"PYRAMID, ROSE, COURT, FRANCE, TABLE, BOW, MOON","HIGH-ROLLER, 2 (ROULETTE, BALL)","JESUS, 2 (CROSS, FISH)","CONTRACTOR, 2 (DRILL, PIPE)","TICKER, 2 (WATCH, HEART)","FIRST, 2 (DATE, FIRST)","SAURON, 2 (PUPIL, FIRE)","MARIO, 2 (DOCTOR, STAR)","KRARK'S, 2 (THUMB, CARD)",,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7067,10/18/2015,Monty,Mike,"KingRamz, wrathy, Rylinks, kolko","Tristal, Kelvandil, viashino, Peebles",Blue,Red,0,,"DEATH, SPELL, TUBE, BRUSH, HAM, STRAW, STOCK, COMIC, SWITCH","SPINE, RABBIT, MAMMOTH, LAND, CLIFF, GRASS, BANK, PRESS",GHOST,"LAB, DRAFT, POINT, BOOM, FIGHTER, BOOT, MODERN","AVADA, 2 (DEATH, SPELL)","VERTEBRATE, 3 (SPINE, RABBIT, MAMMOTH)","LIPSTICK, 3 (TUBE, BRUSH, LAB)","HILLOCK, 4 ( LAND, CLIFF, GRASS, BANK)","FARMHOUSE, 4 (HAM, STRAW, STOCK, DRAFT)","PUSH, 1 (PRESS)",,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7080,10/28/2015,viashino,wrathy,"sea, Mike","Kelvandil, Monty",Red,Red,1,,"ANGEL, STAR, BOX, PARK, KID, SWITCH, TAIL, BUG, TABLE","STAFF, COPPER, EUROPE, PRESS, CELL, SCORPION, WORM, DUCK",SKYSCRAPER,"BOLT, MOSCOW, APPLE, COTTON, SPINE, DISEASE, SERVER","CHRISTMAS, 3 (ANGEL, STAR, BOX)","SPEAR, 3 (STAFF, COPPER, BOLT","SKATE, 3 (PARK, KID, MOSCOW)","FRENCH, 2 (EUROPE, PRESS)","LIGHT, 3 (SWITCH, TAIL, BUG)","EUKARYOTE, 4 (CELL, APPLE)","FURNITURE, 1 (TABLE)",,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7092,11/10/2015,sea,Hyphen-ated,"Kelvandil, wrathy","Juri, hill giant, Faceless",Blue,Blue,1,,"TABLET, GAME, CODE, AUSTRALIA, ROME, NINJA, PLATE, BAR, ROW","DAY, BANK, WELL, PAN, MILLIONAIRE, SCUBA DIVER, TEMPLE, BELT",FIGURE,"LINK, FILM, CHOCOLATE, HOSPITAL, NEW YORK, POISON, PART","APP, 3 (TABLET, GAME, CODE)","PAY, 3 (DAY, BANK, LINK)","NON-AMERICAN, 3 (AUSTRALIA, ROME, NINJA)","OIL, 4 (WELL, PAN, MILLIONAIRE, FILM","TABLE, 3 (PLATE, BAR, ROW)",,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7143,12/20/2015,wrathy,Swiftkick,"Hyphen-ated, Mike","Kelvandil, viashino",Red,Red,1,,"BOMB, OPERA, PISTOL, BARK, BATTERY, KNIGHT, DISEASE, ROW, BEAR","MARBLE, MILLIONAIRE, PORT, BOTTLE, TAP, VAN, NEEDLE, PUMPKIN",???,"BAR, ICE, BERLIN, PLOT, CYCLE, BOLT, RULER, CAT","LOUD, 4 (BOMB, OPERA, PISTOL, BARK)","ANTIQUES, 2 (MARBLE, MILLIONAIRE)","ASSAULT, 3 (BATTERY, KNIGHT, BAR)","ALCOHOL, 4 (PORT, BOTTLE, ICE)","DEATH, 2 (DISEASE, ROW)","AMBULANCE, UNLIMITED (TAP, VAN, NEEDLE, BERLIN)","GRIZZLY, 1 (BEAR)",,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7155,12/30/2015,Kelvandil,sea,"viashino, Mike, Hyphen-ated","wrathy, Swiftkick",Red,Blue,0,,"BUTTON, STRIKE, AFRICA, LION, ICE, PRESS, OCTOPUS, HORN, PLATYPUS","LUCK, MILLIONAIRE, HOSPITAL, ANTARCTICA, POLE, WITCH, CELL, LITTER",WEB,"MOSCOW, JUPITER, ROSE, BED, JACK, ANGEL, WHIP","NUKE, 3 (BUTTON, STRIKE, MOSCOW)","RAFFLE, 3 (LUCK, MILLIONAIRE)","ETHIOPIA, 3 (AFRICA, LION, HOSPITAL)","SOUTH, 2 (ANTARCTICA, POLE)","WATER, UNLIMITED (ICE, PRESS, OCTOPUS, WITCH","DANDRUFF, 2 (CELL, LITTER)",,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7187,1/19/2016,Kelvandil,Jack,"wrathy, Mike, JSexton, Hyphen-ated","Monty, Faceless, sea",Blue,Blue,1,,"UNICORN, DAY, BACK, LAP, FIGURE, CAST, PLATE, ICE CREAM, SPY","POLE, EMBASSY, STREAM, DEATH, CROSS, POISON, SUB, LOG",IVORY,"TAP, CHANGE, NIGHT, TIME, LONDON, TRIANGLE, POOL","RAINBOW, 2 (UNICORN, DAY)","WARSAW, 2 (POLE, EMBASSY)","ANATOMY, 3 (BACK, LAP, FIGURE)","CHEON, 3 (STREAM, CAST)","DISH, 2 (PLATE, ICE CREAM)","SKULL, UNLIMITED (DEATH, TAP)","COVERT, 1 (SPY)",,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7258,3/18/2016,wrathy,Kelvandil,"Juri, hill giant, Faceless","Hyphen-ated, JSexton, Jack",Blue,Red,0,,"ENCHANTMENT, SPIRIT, MIRRODIN, CHANDRA, AGGRO, EQUIPMENT, OATH, FLASH, SHADOW","DESTROY, CREATURE, WURM, JUND, TRAMPLE, ALPHA, APOCALYPSE, TOKEN",VISIONS,"DRAGON, SOLDIER, CARD, DEMON, TEFERI, TRIBAL, VAMPIRE","TALLOWISP, 2 (ENCHANTMENT, SPIRIT)","TERROR, 3 (DESTROY, CREATURE, MIRRODIN)","BURN, 2 (CHANDRA, AGGRO)","CHARNELHOARD, 3 (WURM, JUND, TRAMPLE, ALPHA)","MASTERWORK, 2 (EQUIPMENT, OATH)","BOBCAT, 2 (APOCALYPSE, TOKEN)",,,,
