"Clue: Hard, 4","Rock, Stick, Tag, Disease",All four are objects that can be hard in texture.
"Clue: Mint,3","Rock, Seal, Square","All three words can be used to describe a mint, but 'Rock' can also be a term for a candy or small edible treat."
"Clue: Sharp, 3","Pitch, Tooth, Spike",All three objects can be described as sharp in some way.
"Clue: Water, 4","Pitch, Dock, Well, Fair",All four words are related to water sources.
Clue: Ball,"Pitch, Fair, Pan, Square","All four words can be associated with the word ""ball"" as in sports."
"Clue: Shine, 5","Deck, Tooth, Bill, Shot, Face",All five can shine or be shiny. Striking a balance between them would be important for the clue giver.
"Clue: Fountain, 4 ","Pitch, Well, Press, Square",All related to things that can be found in a public square.
"Clue: Brown, 2","Bear, Palm",Both bear and palm can be brown in color. No other words are brown.
Clue: Green 2,"Palm, Stick",Both are natural items found in nature.
"Clue: Brush, 2","    Tooth, Hair","    Both tooth and hair can be brushed, the other words do not relate to the clue."
There are multiple possible solutions for this task. Here is one example:,,Input:,"Red words: ['Egypt', 'Pitch', 'Deck', 'Well', 'Fair', 'Tooth', 'Staff', 'Bill', 'Shot']","Blue words: ['King', 'Pan', 'Square', 'Press', 'Seal', 'Bear', 'Spike', 'Center', 'Face']","Civilian words: ['Palm', 'Crane', 'Rock', 'Stick', 'Tag', 'Disease', 'Yard']",Assassin word: ['Battery'],,Output:,"Clue: Water, 4","Egypt, Pitch, Deck, Well","All four red words are associated with water in some way. Egypt has the Nile river, pitch indicates a pitch of water, deck of a ship, and a well is a water source."
Clue: Dark 2,"Pitch, Deck",Both pitch and deck can be dark in color.
"Clue: Fire, 4","Pitch, Deck, Shot, Staff","All four words can be related to fire: pitch fire, fire deck, shot of fire, fire staff."
Clue: Point 3,"Staff, Shot, Arrow",These words can all be used to point or aim at something.
"Clue: Cut, 2","Rock, Stick",Both rock and stick can be used to cut or shape things.
Clue: Tool 3,"Pitch, Staff, Spike",All three words can be used as tools in different situations.
Clue: Water 2,"Deck, Well","Both Deck and Well are associated with water, as they can be found on a ship and contain water respectively."
"Clue: Round, 3","Rock, Pan, Seal",All three items are round in shape.
Clue: Mint 2,"Pitch, Square",Both can be used in a game of baseball.
"Clue: White, 3","Tooth, Fair, Staff",All three are commonly associated with the color white.
Clue: Point 5,"Bear, Spike, Center, Face, Staff",All of these words can be used as points of reference or as the center of something.
"Clue: Round, 4","Ball, Clock, Circle, Orange",All four have a round shape.
Clue: Brush 2,"Pitch, Tooth",Both Pitch and Tooth can be related to a brush in some way.
"Clue: Pen, 3","Tag, Staff, Bill","These three items can all be used with a pen, representing writing instruments."
"Clue: Crown, 3","King, Square, Press",All three are related to authority or power and can be associated with a crown.
"Clue: Spin, 2","Tag, Rock",Both Tag and Rock can be spun.
Clue: Gold 2,"King, Staff, ",Both King and Staff can be associated with gold in some way.
Clue: Crown 1,King,All the words are related to royalty or leadership.
